Unnamed: 0,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,adm4_pcode,brgy_total_area
340,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 47,PH083747074,0.033
341,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 104 (Salvacion),PH083747023,6.6152
342,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 76,PH083747107,0.1054
343,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 105 (Suhi),PH083747024,6.6585
344,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 65,PH083747095,0.1021
345,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 108 (Tagapuro),PH083747027,3.2562
346,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 45,PH083747072,0.0363
347,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 64,PH083747094,0.1367
348,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 83 (San Jose),PH083747115,0.3515
349,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 20,PH083747041,0.0289
350,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 56,PH083747085,0.0534
351,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 40,PH083747064,0.0114
352,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 19,PH083747040,0.0158
353,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 42,PH083747066,0.0186
354,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 46,PH083747073,0.0175
355,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 60-A,PH083747090,0.0356
356,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 16,PH083747037,0.0109
357,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 95-A (Caibaan),PH083747152,1.2295
358,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 8,PH083747015,0.0153
359,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 53,PH083747082,0.0258
360,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 17,PH083747038,0.0214
361,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 21,PH083747042,0.0169
362,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 67,PH083747098,0.0756
363,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Capisan,PH097332098,6.3114
364,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Mangusu,PH097332050,15.1523
365,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Latuan (Curuan),PH097332039,13.707
366,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Barangay Zone IV (Pob.),PH097332064,0.3009
367,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Sangali,PH097332073,10.1048
368,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Santa Maria,PH097332076,3.8921
369,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,La Paz,PH097332032,60.512
370,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Ayala,PH097332002,4.05
371,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Camino Nuevo,PH097332099,0.7318
372,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Tigbalabag,PH097332089,11.5262
373,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Kasanyangan,PH097332101,1.3351
374,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Mercedes,PH097332053,13.0426
375,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,San Jose Gusu,PH097332071,1.5021
376,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Lanzones,PH097332037,9.2548
377,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Talon-talon,PH097332085,8.1641
378,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Watershed Area under Jurisdiction of Zamboanga City,PH097332904,79.6228
379,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Arena Blanco,PH097332001,0.9406
380,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Talabaan,PH097332083,8.1421
381,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Tetuan,PH097332087,2.9987
382,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Lumayang,PH097332043,7.4131
383,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Canelar,PH097332021,1.059
384,Region IX,PH090000000,Zamboanga del Sur,PH097300000,Zamboanga City,PH097332000,Talisayan,PH097332084,11.4775
385,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Tuburan,PH104305071,14.5714
386,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 35 (Pob.),PH104305079,0.0436
387,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 4 (Pob.),PH104305031,0.0278
388,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 30 (Pob.),PH104305025,0.0579
389,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 29 (Pob.),PH104305077,0.1896
390,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 7 (Pob.),PH104305074,0.0722
391,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Tagpangi,PH104305069,9.9956
392,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Besigan,PH104305039,24.231
393,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,San Simon,PH104305065,6.6919
394,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 15 (Pob.),PH104305011,0.124
395,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Taglimao,PH104305068,8.6125
396,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 3 (Pob.),PH104305024,0.0279
397,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Lapasan,PH104305053,2.1651
398,Region X,PH100000000,Misamis Oriental,PH104300000,Cagayan de Oro City,PH104305000,Barangay 10 (Pob.),PH104305006,0.0532
399,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Angalan,PH112402174,4.6088
400,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Panalum,PH112402088,10.2785
401,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Sirib,PH112402105,20.7203
402,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Megkawayan,PH112402189,18.9326
403,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Tawan-tawan,PH112402122,9.9831
404,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Los Amigos,PH112402058,4.793
405,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Balengaeng,PH112402009,4.4147
406,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 33-D (Pob.),PH112402166,0.1141
407,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 9-A (Pob.),PH112402142,0.7932
408,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Gumalang,PH112402048,15.1174
409,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Magtuod,PH112402063,8.3241
410,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Cabantian,PH112402023,9.9051
411,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Mount Apo National Park under Jurisdiction of Davao City,PH112402901,226.8714
412,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Paquibato (Pob.),PH112402091,37.3487
413,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Pandaitan,PH112402089,32.8952
414,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 6-A (Pob.),PH112402139,0.1524
415,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,San Antonio,PH112402192,0.9665
416,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Mintal,PH112402079,6.4593
417,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Tambobong,PH112402119,12.4839
418,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Communal,PH112402035,5.4777
419,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Sibulan,PH112402102,17.1948
420,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Suawan (Tuli),PH112402106,44.6619
421,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 30-C (Pob.),PH112402163,0.2019
422,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 39-D (Pob.),PH112402172,0.1385
423,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Tibungco,PH112402124,7.7711
424,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Biao Escuela,PH112402016,11.5732
425,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 16-B (Pob.),PH112402149,0.0551
426,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Bayabas,PH112402015,12.8183
427,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Mahayag,PH112402064,7.6898
428,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Toril (Pob.),PH112402126,1.5299
429,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Barangay 34-D (Pob.),PH112402167,0.1896
430,Region XI,PH110000000,Davao del Sur,PH112400000,Davao City,PH112402000,Mandug,PH112402069,10.1824
